"id","annual_earnings","education","age","religion","sex","residence"
2602,131131,14,27,"Sikh","Male","Rural"
2603,11314,3,18,"Hindu","Male","Rural"
2604,1729,6,24,"Hindu","Male","Rural"
2605,184735,3,43,"Hindu","Male","Rural"
2606,63927,14,64,"Hindu","Male","Rural"
2607,10116,3,59,"Hindu","Male","Rural"
2608,7686,5,24,"Hindu","Female","Rural"
2609,6096,0,47,"Hindu","Female","Rural"
2610,4550,0,64,"Hindu","Female","Urban"
2611,7170,0,39,"Muslim","Male","Rural"
2612,17568,0,35,"Muslim","Male","Rural"
2613,13593,3,41,"Hindu","Male","Rural"
2614,103294,13,27,"Hindu","Male","Urban"
2615,54173,11,55,"Christian","Male","Rural"
2616,8562,0,45,"Hindu","Male","Rural"
2617,15887,8,51,"Hindu","Male","Rural"
2618,47669,5,39,"Hindu","Female","Rural"
2619,6161,3,39,"Hindu","Female","Rural"
2620,2732,7,21,"Hindu","Male","Rural"
2621,16739,6,41,"Hindu","Male","Rural"
2622,27698,0,45,"Hindu","Male","Rural"
2623,22044,4,36,"Hindu","Male","Urban"
2624,19024,7,32,"Hindu","Male","Urban"
2625,3400,3,51,"Muslim","Male","Rural"
2626,33090,9,18,"Hindu","Male","Rural"
2627,9699,5,23,"Hindu","Male","Urban"
2628,18871,7,29,"Hindu","Male","Rural"
2629,2835,2,33,"Hindu","Female","Rural"
2630,1372,4,25,"Hindu","Female","Rural"
2631,571358,15,34,"Hindu","Male","Urban"
2632,3783,1,65,"Hindu","Female","Rural"
2633,6136,5,38,"Hindu","Male","Rural"
2634,44960,12,37,"Hindu","Male","Rural"
2635,27540,0,36,"Hindu","Male","Urban"
2636,1981,0,28,"Hindu","Male","Rural"
2637,14481,6,26,"Hindu","Male","Urban"
2638,289052,0,54,"Muslim","Male","Urban"
2639,34212,0,40,"Hindu","Male","Rural"
2640,13800,3,32,"Hindu","Male","Rural"
2641,2981,0,36,"Hindu","Male","Rural"
2642,107433,0,39,"Hindu","Male","Rural"
2643,2868,7,38,"Hindu","Male","Rural"
2644,82661,0,42,"Hindu","Male","Urban"
2645,10430,0,45,"Hindu","Male","Rural"
2646,226861,15,31,"Hindu","Male","Urban"
2647,12375,8,43,"Hindu","Female","Rural"
2648,8990,0,36,"Hindu","Female","Rural"
2649,30741,2,38,"Hindu","Female","Urban"
2650,11781,0,27,"Hindu","Male","Rural"
2651,25348,3,25,"Hindu","Male","Rural"
2652,11288,1,43,"Hindu","Female","Rural"
2653,6376,2,33,"Hindu","Male","Rural"
2654,97482,13,34,"Hindu","Male","Rural"
2655,77049,15,30,"Hindu","Male","Rural"
2656,17198,2,47,"Hindu","Female","Rural"
2657,9033,15,60,"Hindu","Male","Rural"
2658,34101,15,33,"Muslim","Male","Urban"
2659,31338,0,39,"Hindu","Male","Urban"
2660,32595,0,65,"Hindu","Female","Rural"
2661,33691,0,47,"Muslim","Male","Rural"
2662,71880,1,32,"Hindu","Male","Urban"
2663,246999,9,36,"Sikh","Male","Rural"
2664,150253,10,57,"Hindu","Female","Urban"
2665,54610,6,23,"Hindu","Male","Rural"
2666,142618,6,49,"Hindu","Female","Rural"
2667,16379,0,37,"Muslim","Male","Rural"
2668,5414,0,52,"Hindu","Male","Urban"
2669,125641,9,43,"Hindu","Female","Rural"
2670,7531,3,53,"Hindu","Male","Rural"
2671,31097,0,39,"Hindu","Female","Rural"
2672,6626,9,33,"Hindu","Female","Rural"
2673,1046,0,43,"Hindu","Female","Rural"
2674,69615,11,49,"Muslim","Male","Urban"
2675,14203,0,35,"Hindu","Male","Rural"
2676,43045,0,39,"Muslim","Male","Rural"
2677,19329,5,44,"Hindu","Male","Rural"
2678,1271583,8,18,"Muslim","Male","Urban"
2679,8505,0,46,"Hindu","Female","Rural"
2680,14758,2,55,"Hindu","Male","Rural"
2681,31315,0,18,"Hindu","Female","Rural"
2682,4248,0,50,"Hindu","Female","Rural"
2683,36608,5,55,"Hindu","Male","Rural"
2684,21976,4,30,"Hindu","Male","Rural"
2685,28113,0,32,"Hindu","Male","Urban"
2686,9140,3,46,"Hindu","Female","Rural"
2687,67005,6,38,"Hindu","Male","Rural"
2688,2586,2,47,"Hindu","Male","Rural"
2689,20946,0,48,"Hindu","Female","Rural"
2690,87585,0,31,"Hindu","Male","Rural"
2691,73105,0,41,"Muslim","Male","Rural"
2692,57405,5,44,"Hindu","Male","Rural"
2693,15437,1,28,"Hindu","Male","Urban"
2694,30252,0,45,"Hindu","Male","Rural"
2695,2430,1,37,"Hindu","Male","Rural"
2696,979,4,45,"Hindu","Female","Rural"
2697,41484,4,50,"Hindu","Male","Rural"
2698,13892,0,54,"Hindu","Male","Urban"
2699,22714,10,43,"Hindu","Male","Rural"
2700,69939,9,47,"Hindu","Male","Urban"
2701,15356,2,54,"Muslim","Male","Rural"
2702,22645,7,29,"Muslim","Male","Rural"
2703,651350,15,43,"Hindu","Male","Urban"
2704,62891,6,25,"Muslim","Male","Rural"
2705,14865,12,65,"Hindu","Female","Urban"
2706,432997,15,45,"Christian","Male","Urban"
2707,100487,6,56,"Muslim","Male","Rural"
2708,3435,2,25,"Hindu","Male","Rural"
2709,216522,11,37,"Hindu","Male","Urban"
2710,17362,9,36,"Hindu","Female","Rural"
2711,87927,0,56,"Hindu","Male","Urban"
2712,20866,15,38,"Hindu","Female","Rural"
2713,112657,3,34,"Hindu","Male","Rural"
2714,34178,5,37,"Hindu","Male","Urban"
2715,22825,15,52,"Hindu","Male","Rural"
2716,3729,0,44,"Hindu","Female","Rural"
2717,258800,12,27,"Hindu","Male","Urban"
2718,27647,2,29,"Hindu","Male","Rural"
2719,94532,13,48,"Hindu","Male","Urban"
2720,25875,14,26,"Hindu","Female","Rural"
2721,3244,2,24,"Hindu","Male","Rural"
2722,34219,0,43,"Hindu","Female","Rural"
2723,8604,4,45,"Hindu","Male","Rural"
2724,32235,7,35,"Muslim","Male","Rural"
2725,3047,2,40,"Hindu","Male","Rural"
2726,26881,0,19,"Hindu","Male","Urban"
2727,202833,9,22,"Hindu","Male","Urban"
2728,16191,5,29,"Hindu","Male","Rural"
2729,16328,0,52,"Buddhist","Male","Rural"
2730,54369,7,32,"Hindu","Male","Rural"
2731,3106,3,40,"Hindu","Female","Rural"
2732,110786,7,44,"Hindu","Male","Urban"
2733,16842,12,45,"Hindu","Female","Rural"
2734,3165,8,42,"Hindu","Female","Rural"
2735,46074,14,49,"Sikh","Male","Rural"
2736,16054,8,44,"Hindu","Female","Rural"
2737,35164,1,41,"Hindu","Male","Rural"
2738,753,6,18,"Hindu","Female","Rural"
2739,29950,9,43,"Christian","Female","Rural"
2740,79080,10,56,"Hindu","Male","Urban"
2741,35976,0,25,"Hindu","Male","Rural"
2742,82573,2,34,"Hindu","Male","Urban"
2743,3059,6,51,"Hindu","Female","Rural"
2744,131314,0,42,"Hindu","Male","Urban"
2745,73458,2,26,"Hindu","Male","Urban"
2746,88447,6,45,"Muslim","Male","Urban"
2747,91165,15,37,"Hindu","Female","Urban"
2748,149399,15,31,"Hindu","Male","Urban"
2749,40343,1,49,"Hindu","Male","Rural"
2750,21264,2,35,"Hindu","Male","Rural"
2751,67598,6,44,"Hindu","Male","Urban"
2752,9178,2,18,"Tribal","Male","Rural"
2753,50053,8,41,"Hindu","Female","Rural"
2754,22345,1,53,"Hindu","Female","Rural"
2755,22694,11,28,"Hindu","Male","Rural"
2756,11277,5,28,"Hindu","Male","Rural"
2757,296750,8,37,"Christian","Male","Urban"
2758,119870,15,61,"Hindu","Male","Urban"
2759,2362,0,32,"Hindu","Male","Rural"
2760,6829,14,51,"Hindu","Female","Rural"
2761,69336,7,35,"Hindu","Male","Urban"
2762,86959,8,54,"Hindu","Female","Urban"
2763,82565,0,58,"Hindu","Male","Rural"
2764,11752,15,48,"Hindu","Male","Rural"
2765,11535,4,33,"Hindu","Male","Rural"
2766,10540,4,65,"Hindu","Male","Rural"
2767,45397,4,27,"Hindu","Female","Urban"
2768,39010,6,21,"Hindu","Male","Urban"
2769,32469,14,18,"Christian","Male","Rural"
2770,103028,0,47,"Hindu","Male","Urban"
2771,3613,3,61,"Hindu","Female","Rural"
2772,16321,1,42,"Hindu","Male","Rural"
2773,66316,3,35,"Hindu","Male","Urban"
2774,75651,6,23,"Hindu","Male","Rural"
2775,26965,14,39,"Hindu","Male","Urban"
2776,40752,11,29,"Hindu","Male","Rural"
2777,2608,7,25,"Hindu","Female","Rural"
2778,19030,8,19,"Hindu","Female","Urban"
2779,59149,8,48,"Muslim","Male","Urban"
2780,133774,12,19,"Hindu","Male","Rural"
2781,33181,3,49,"Hindu","Male","Rural"
2782,49735,15,18,"Muslim","Female","Urban"
2783,68936,11,28,"Hindu","Male","Rural"
2784,34024,15,64,"Hindu","Female","Rural"
2785,59691,3,48,"Hindu","Male","Urban"
2786,31868,10,49,"Hindu","Male","Rural"
2787,7608,3,48,"Hindu","Male","Rural"
2788,26789,9,30,"Muslim","Male","Rural"
2789,4311,1,28,"Muslim","Female","Rural"
2790,9288,0,18,"Hindu","Male","Rural"
2791,18411,10,43,"Hindu","Male","Urban"
2792,208984,13,22,"Hindu","Male","Urban"
2793,119381,8,33,"Hindu","Male","Urban"
2794,3955,0,61,"Hindu","Male","Rural"
2795,41727,9,39,"Hindu","Male","Urban"
2796,20375,2,44,"Hindu","Female","Rural"
2797,7341,10,18,"Hindu","Female","Rural"
2798,9598,8,29,"Hindu","Male","Rural"
2799,113842,0,35,"Hindu","Male","Rural"
2800,186136,5,48,"Hindu","Male","Urban"
2801,51265,14,42,"Hindu","Male","Rural"
2802,165374,12,52,"Hindu","Male","Urban"
2803,56680,10,28,"Muslim","Female","Urban"
2804,20163,7,65,"Hindu","Male","Rural"
2805,35864,15,37,"Hindu","Male","Urban"
2806,79203,6,36,"Hindu","Male","Rural"
2807,32844,3,32,"Hindu","Male","Rural"
2808,91247,15,50,"Sikh","Female","Rural"
2809,68791,0,61,"Muslim","Male","Rural"
2810,22273,0,47,"Hindu","Male","Rural"
2811,11819,11,18,"Hindu","Male","Rural"
2812,30903,0,25,"Hindu","Male","Urban"
2813,9187,0,42,"Hindu","Male","Rural"
2814,49197,15,37,"Hindu","Female","Rural"
2815,6082,10,19,"Hindu","Male","Rural"
2816,18036,7,38,"Hindu","Male","Rural"
2817,19269,5,18,"Hindu","Female","Rural"
2818,287172,11,34,"Hindu","Male","Rural"
2819,321567,5,59,"Hindu","Male","Rural"
2820,21141,2,36,"Muslim","Male","Rural"
2821,20892,0,36,"Hindu","Male","Rural"
2822,18821,11,30,"Hindu","Female","Rural"
2823,13708,7,58,"Hindu","Female","Rural"
2824,5221,5,39,"Hindu","Male","Rural"
2825,109897,0,50,"Hindu","Male","Urban"
2826,13150,0,45,"Hindu","Male","Urban"
2827,13057,6,47,"Hindu","Male","Rural"
2828,28865,7,42,"Hindu","Male","Rural"
2829,42459,5,43,"Muslim","Female","Rural"
2830,28043,13,32,"Hindu","Female","Rural"
2831,12123,0,18,"Hindu","Male","Urban"
2832,20333,0,31,"Hindu","Male","Rural"
2833,199941,14,25,"Hindu","Male","Urban"
2834,38336,3,63,"Hindu","Male","Rural"
2835,1517,4,47,"Hindu","Female","Rural"
2836,32195,12,51,"Hindu","Male","Urban"
2837,7898,0,43,"Hindu","Female","Rural"
2838,91792,2,52,"Hindu","Male","Urban"
2839,43453,0,26,"Hindu","Male","Urban"
2840,6468,1,39,"Hindu","Male","Rural"
2841,11231,5,36,"Hindu","Male","Rural"
2842,25932,14,34,"Hindu","Female","Rural"
2843,15947,13,49,"Hindu","Female","Rural"
2844,79591,12,44,"Muslim","Male","Rural"
2845,164954,15,46,"Muslim","Male","Rural"
2846,87354,7,45,"Hindu","Male","Rural"
2847,38934,2,50,"Hindu","Male","Rural"
2848,17401,0,35,"Hindu","Male","Rural"
2849,110325,0,51,"Hindu","Male","Rural"
2850,45213,7,51,"Hindu","Male","Urban"
2851,9409,3,21,"Hindu","Male","Rural"
2852,10925,0,55,"Hindu","Male","Rural"
2853,21517,5,33,"Hindu","Female","Rural"
2854,29285,10,18,"Hindu","Female","Urban"
2855,16905,0,35,"Hindu","Female","Rural"
2856,21335,2,23,"Hindu","Male","Rural"
2857,20407,0,45,"Hindu","Male","Rural"
2858,100961,3,39,"Hindu","Female","Urban"
2859,54546,14,33,"Muslim","Female","Urban"
2860,12997,8,41,"Hindu","Female","Rural"
2861,4121,0,30,"Hindu","Male","Rural"
2862,19299,9,44,"Hindu","Female","Urban"
2863,39351,3,54,"Hindu","Male","Urban"
2864,28577,5,50,"Muslim","Female","Rural"
2865,22699,3,59,"Hindu","Female","Rural"
2866,81652,0,47,"Muslim","Male","Rural"
2867,21519,4,37,"Hindu","Male","Urban"
2868,36421,11,23,"Hindu","Female","Rural"
2869,19237,0,31,"Hindu","Male","Rural"
2870,108457,12,40,"Hindu","Male","Urban"
2871,19953,3,34,"Hindu","Male","Rural"
2872,23147,0,34,"Hindu","Male","Rural"
2873,58648,6,47,"Hindu","Male","Rural"
2874,7515,2,46,"Hindu","Female","Rural"
2875,239862,15,18,"Christian","Male","Rural"
2876,119796,4,65,"Muslim","Male","Rural"
2877,46568,10,31,"Christian","Male","Urban"
2878,2055,9,32,"Hindu","Female","Rural"
2879,45432,4,44,"Sikh","Male","Rural"
2880,18744,0,38,"Hindu","Male","Rural"
2881,11639,0,46,"Hindu","Male","Rural"
2882,11774,3,46,"Hindu","Female","Rural"
2883,3645,6,32,"Hindu","Male","Rural"
2884,14559,7,41,"Hindu","Female","Urban"
2885,69688,12,43,"Muslim","Male","Rural"
2886,31695,15,46,"Hindu","Male","Urban"
2887,64208,0,32,"Christian","Male","Rural"
2888,34111,2,33,"Hindu","Male","Urban"
2889,138440,13,47,"Hindu","Male","Urban"
2890,16990,0,29,"Hindu","Female","Rural"
2891,6867,6,46,"Hindu","Male","Rural"
2892,173787,14,43,"Hindu","Male","Urban"
2893,3037,5,49,"Hindu","Female","Rural"
2894,2656,13,37,"Hindu","Female","Rural"
2895,15160,4,21,"Hindu","Female","Rural"
2896,3182,0,49,"Hindu","Female","Rural"
2897,3182,0,49,"Hindu","Female","Rural"
2898,112163,13,44,"Muslim","Male","Urban"
2899,2494,2,41,"Hindu","Female","Rural"
2900,52262,6,61,"Muslim","Male","Rural"
2901,29313,8,38,"Muslim","Female","Rural"
2902,9579,3,32,"Muslim","Male","Rural"
2903,26346,15,26,"Hindu","Male","Rural"
2904,38101,5,51,"Hindu","Male","Urban"
2905,44499,7,65,"Hindu","Male","Urban"
2906,26571,13,55,"Christian","Female","Urban"
2907,64818,1,33,"Hindu","Male","Rural"
2908,272551,15,29,"Hindu","Female","Urban"
2909,159672,4,23,"Hindu","Male","Urban"
2910,30873,5,49,"Hindu","Male","Urban"
2911,26315,0,37,"Hindu","Female","Rural"
2912,2888918,13,34,"Hindu","Male","Urban"
2913,16926,5,48,"Hindu","Female","Rural"
2914,130284,0,58,"Hindu","Male","Urban"
2915,241620,13,40,"Sikh","Male","Rural"
2916,86022,7,28,"Hindu","Male","Urban"
2917,36030,7,37,"Hindu","Male","Rural"
2918,12023,9,33,"Hindu","Male","Rural"
2919,5297,5,35,"Hindu","Female","Rural"
2920,4398,7,31,"Hindu","Male","Rural"
2921,7516,8,19,"Hindu","Male","Rural"
2922,2023,2,42,"Hindu","Female","Rural"
2923,22791,9,57,"Hindu","Male","Rural"
2924,37428,0,50,"Hindu","Male","Rural"
2925,193666,9,35,"Hindu","Male","Rural"
2926,45195,6,49,"Hindu","Male","Urban"
2927,49092,1,26,"Hindu","Female","Urban"
2928,38816,10,34,"Hindu","Male","Urban"
2929,57747,0,57,"Hindu","Male","Urban"
2930,176238,0,40,"Sikh","Male","Urban"
2931,4585,5,20,"Hindu","Female","Rural"
2932,52626,1,29,"Hindu","Male","Rural"
2933,295928,15,25,"Muslim","Male","Urban"
2934,11634,0,33,"Hindu","Male","Rural"
2935,30893,4,47,"Hindu","Male","Rural"
2936,16111,6,26,"Hindu","Male","Rural"
2937,7733,6,32,"Hindu","Male","Rural"
2938,651801,11,18,"Hindu","Male","Urban"
2939,32839,1,31,"Muslim","Male","Rural"
2940,8912,0,35,"Hindu","Male","Rural"
2941,5939,6,40,"Muslim","Male","Rural"
2942,40693,0,52,"Hindu","Female","Rural"
2943,8348,15,65,"Hindu","Female","Rural"
2944,1158,2,36,"Hindu","Female","Rural"
2945,62674,9,59,"Muslim","Male","Rural"
2946,4709,1,18,"Hindu","Female","Rural"
2947,2322,0,32,"Hindu","Male","Rural"
2948,9550,8,50,"Hindu","Male","Urban"
2949,1617,0,29,"Hindu","Female","Rural"
2950,13919,3,23,"Hindu","Male","Rural"
2951,28005,12,51,"Hindu","Male","Rural"
2952,9452,8,35,"Hindu","Female","Rural"
2953,63082,8,35,"Hindu","Male","Urban"
2954,12678,8,49,"Hindu","Male","Rural"
2955,19927,0,24,"Hindu","Male","Rural"
2956,9603,4,21,"Hindu","Male","Rural"
2957,32471,8,36,"Hindu","Male","Rural"
2958,7600,0,26,"Muslim","Female","Rural"
2959,9835,0,31,"Hindu","Male","Rural"
2960,295825,10,32,"Hindu","Male","Rural"
2961,78516,15,24,"Muslim","Male","Urban"
2962,102391,11,21,"Hindu","Male","Urban"
2963,48426,4,50,"Hindu","Male","Urban"
2964,86343,12,55,"Hindu","Male","Urban"
2965,35415,12,32,"Hindu","Male","Urban"
2966,123055,0,52,"Hindu","Male","Rural"
2967,50261,7,49,"Hindu","Male","Rural"
2968,100773,15,46,"Muslim","Male","Urban"
2969,73229,4,48,"Muslim","Male","Rural"
2970,231134,4,37,"Hindu","Male","Urban"
2971,24999,0,30,"Hindu","Male","Urban"
2972,10314,8,51,"Hindu","Male","Rural"
2973,6580,0,56,"Hindu","Female","Rural"
2974,42429,0,42,"Hindu","Male","Rural"
2975,5483,2,26,"Muslim","Male","Rural"
2976,34255,5,18,"Christian","Female","Rural"
2977,41637,12,38,"Christian","Male","Rural"
2978,82687,10,33,"Muslim","Female","Rural"
2979,18611,2,47,"Hindu","Male","Rural"
2980,39202,8,38,"Sikh","Male","Rural"
2981,13960,2,41,"Hindu","Female","Rural"
2982,104493,13,47,"Hindu","Male","Urban"
2983,164412,12,62,"Hindu","Male","Rural"
2984,84538,4,56,"Hindu","Male","Urban"
2985,32898,3,28,"Hindu","Female","Rural"
2986,9067,2,50,"Hindu","Male","Rural"
2987,894,0,33,"Hindu","Male","Rural"
2988,4744,5,39,"Hindu","Male","Rural"
2989,46163,1,18,"Hindu","Male","Rural"
2990,2969,0,41,"Hindu","Female","Rural"
2991,9961,0,29,"Hindu","Male","Rural"
2992,29749,0,18,"Hindu","Male","Urban"
2993,11888,2,49,"Hindu","Male","Rural"
2994,16739,4,23,"Hindu","Male","Rural"
2995,13089,5,43,"Hindu","Female","Rural"
2996,16269,13,52,"Hindu","Female","Urban"
2997,2811,0,42,"Hindu","Female","Rural"
2998,7406,0,40,"Hindu","Male","Rural"
2999,57167,12,52,"Hindu","Male","Urban"
3000,15886,1,50,"Hindu","Female","Rural"
3001,31918,15,34,"Hindu","Female","Rural"
3002,5156,8,36,"Sikh","Female","Rural"
3003,12024,4,30,"Hindu","Male","Rural"
3004,38188,3,44,"Hindu","Male","Rural"
3005,44137,11,38,"Hindu","Male","Rural"
3006,41940,5,46,"Hindu","Male","Rural"
3007,10947,3,22,"Hindu","Male","Urban"
3008,7804,7,35,"Hindu","Male","Rural"
3009,18538,8,24,"Hindu","Male","Rural"
3010,13471,4,43,"Hindu","Female","Rural"
3011,51903,0,35,"Hindu","Male","Rural"
3012,93308,7,50,"Hindu","Male","Urban"
3013,58636,0,36,"Hindu","Female","Rural"
3014,93593,9,49,"Hindu","Male","Urban"
3015,8702,8,52,"Hindu","Male","Urban"
3016,63089,0,22,"Muslim","Male","Rural"
3017,18840,6,56,"Christian","Male","Rural"
3018,24724,6,35,"Hindu","Female","Urban"
3019,15968,9,29,"Hindu","Male","Rural"
3020,324256,0,43,"Hindu","Male","Rural"
3021,113341,2,39,"Hindu","Female","Rural"
3022,179712,5,41,"Sikh","Female","Urban"
3023,2856,0,33,"Hindu","Female","Rural"
3024,8661,2,35,"Hindu","Male","Rural"
3025,486565,2,41,"Tribal","Male","Urban"
3026,2579,2,43,"Muslim","Male","Rural"
3027,57335,9,35,"Hindu","Female","Urban"
3028,13732,4,20,"Hindu","Male","Rural"
3029,16489,15,40,"Hindu","Female","Rural"
3030,23134,6,38,"Hindu","Male","Rural"
3031,1230,1,38,"Hindu","Male","Rural"
3032,18649,2,52,"Hindu","Male","Rural"
3033,80347,3,37,"Hindu","Male","Rural"
3034,45949,11,42,"Hindu","Male","Rural"
3035,8025,1,35,"Tribal","Female","Rural"
3036,21707,0,41,"Hindu","Female","Rural"
3037,37536,15,18,"Muslim","Female","Rural"
3038,93879,7,56,"Hindu","Male","Rural"
3039,4642,0,34,"Muslim","Female","Rural"
3040,353451,1,25,"Christian","Male","Urban"
3041,30965,1,56,"Muslim","Male","Rural"
3042,43722,0,27,"Hindu","Male","Rural"
3043,6878,12,30,"Hindu","Male","Rural"
3044,438992,13,47,"Muslim","Male","Urban"
3045,9544,8,31,"Hindu","Male","Urban"
3046,15653,3,50,"Hindu","Male","Urban"
3047,57447,3,65,"Hindu","Female","Urban"
3048,27893,5,26,"Hindu","Male","Rural"
3049,19284,15,36,"Hindu","Female","Rural"
3050,47800,0,46,"Hindu","Male","Rural"
3051,3269,2,45,"Hindu","Female","Rural"
3052,23423,8,23,"Muslim","Male","Urban"
3053,38481,12,30,"Hindu","Male","Urban"
3054,38515,4,36,"Hindu","Male","Rural"
3055,2825,2,43,"Hindu","Female","Rural"
3056,16586,4,54,"Sikh","Male","Urban"
3057,24966,2,34,"Muslim","Female","Rural"
3058,39625,7,33,"Hindu","Female","Rural"
3059,81396,15,43,"Hindu","Male","Urban"
3060,12422,3,39,"Hindu","Male","Rural"
3061,55882,6,56,"Hindu","Male","Urban"
3062,23550,5,33,"Hindu","Male","Rural"
3063,46928,8,35,"Hindu","Male","Rural"
3064,12211,0,35,"Hindu","Male","Rural"
3065,7426,9,43,"Hindu","Male","Rural"
3066,36305,9,45,"Hindu","Male","Urban"
3067,15549,3,52,"Hindu","Female","Rural"
3068,10303,0,24,"Muslim","Male","Rural"
3069,13576,1,48,"Hindu","Male","Rural"
3070,39408,5,35,"Hindu","Male","Urban"
3071,53790,11,28,"Hindu","Male","Urban"
3072,32655,7,25,"Hindu","Male","Rural"
3073,16216,5,50,"Hindu","Male","Rural"
3074,3500,1,32,"Hindu","Male","Rural"
3075,15182,0,27,"Muslim","Male","Rural"
3076,19216,11,30,"Hindu","Male","Urban"
3077,2894,0,37,"Hindu","Male","Urban"
3078,4042,8,48,"Hindu","Male","Rural"
3079,345821,12,54,"Hindu","Male","Urban"
3080,67103,15,47,"Hindu","Female","Urban"
3081,8053,0,30,"Hindu","Male","Rural"
3082,382364,15,35,"Hindu","Male","Urban"
3083,3653,11,30,"Hindu","Male","Urban"
3084,53838,10,23,"Hindu","Male","Rural"
3085,40832,13,48,"Hindu","Male","Urban"
3086,76775,0,52,"Hindu","Male","Rural"
3087,711856,15,37,"Hindu","Male","Urban"
3088,2214,6,56,"Hindu","Male","Rural"
3089,26128,7,46,"Hindu","Female","Rural"
3090,28053,0,30,"Hindu","Male","Rural"
3091,24861,11,27,"Hindu","Male","Rural"
3092,5802,0,54,"Hindu","Male","Rural"
3093,12977,4,35,"Hindu","Male","Rural"
3094,194416,13,54,"Hindu","Male","Urban"
3095,145916,6,49,"Muslim","Female","Urban"
3096,23162,8,40,"Hindu","Male","Rural"
3097,9152,3,28,"Hindu","Male","Rural"
3098,46240,2,48,"Hindu","Male","Rural"
3099,70460,0,35,"Hindu","Female","Urban"
3100,11826,12,43,"Hindu","Female","Rural"
3101,21728,13,18,"Hindu","Male","Rural"
3102,11307,1,28,"Hindu","Female","Rural"
3103,3605,1,26,"Hindu","Male","Rural"
3104,1442,10,48,"Hindu","Male","Rural"
3105,53763,3,38,"Hindu","Female","Rural"
3106,6431,11,22,"Muslim","Female","Rural"
3107,35996,10,35,"Hindu","Male","Rural"
3108,48611,4,46,"Hindu","Male","Urban"
3109,553654,6,35,"Christian","Male","Urban"
3110,47725,0,41,"Muslim","Male","Urban"
3111,12367,0,34,"Muslim","Female","Rural"
3112,8593,6,27,"Hindu","Female","Rural"
3113,22388,3,30,"Muslim","Male","Rural"
3114,19785,12,53,"Hindu","Male","Rural"
3115,88335,0,45,"Hindu","Male","Urban"
3116,8135,4,35,"Hindu","Male","Rural"
3117,14234,0,33,"Hindu","Male","Rural"
3118,12997,0,37,"Hindu","Male","Rural"
3119,9278,4,48,"Hindu","Female","Rural"
3120,148015,6,54,"Hindu","Female","Urban"
3121,7830,0,54,"Hindu","Male","Rural"
3122,11069,0,45,"Hindu","Male","Rural"
3123,6646,11,65,"Hindu","Female","Rural"
3124,12916,0,40,"Hindu","Male","Rural"
3125,348712,15,33,"Tribal","Male","Rural"
3126,68170,7,30,"Sikh","Male","Urban"
3127,9035,3,46,"Hindu","Male","Rural"
3128,38715,9,22,"Muslim","Male","Urban"
3129,96547,6,53,"Hindu","Male","Rural"
3130,32699,4,29,"Sikh","Male","Urban"
3131,6005,0,43,"Hindu","Male","Rural"
3132,3803,4,31,"Hindu","Female","Rural"
3133,2754,0,33,"Hindu","Female","Rural"
3134,5887,3,18,"Hindu","Male","Rural"
3135,86283,6,50,"Hindu","Female","Rural"
3136,12566,0,38,"Hindu","Female","Rural"
3137,4056,3,29,"Hindu","Male","Rural"
3138,19340,9,31,"Hindu","Female","Rural"
3139,99779,6,51,"Hindu","Male","Urban"
3140,36963,6,45,"Muslim","Male","Rural"
3141,4372,6,18,"Hindu","Female","Rural"
3142,80817,0,42,"Hindu","Female","Urban"
3143,8836,6,38,"Hindu","Male","Rural"
3144,8358,1,42,"Hindu","Male","Rural"
3145,14081,10,37,"Hindu","Male","Rural"
3146,7228,0,35,"Hindu","Male","Rural"
3147,75630,10,35,"Hindu","Male","Rural"
3148,6295,2,44,"Hindu","Female","Rural"
3149,42585,11,32,"Muslim","Male","Rural"
3150,7362,6,24,"Hindu","Male","Rural"
3151,2084,0,65,"Hindu","Female","Rural"
3152,35834,9,41,"Hindu","Male","Urban"
3153,11489,0,29,"Hindu","Male","Rural"
3154,72481,12,40,"Christian","Female","Rural"
3155,3143,0,18,"Hindu","Male","Rural"
3156,34085,15,27,"Hindu","Male","Urban"
3157,14633,11,39,"Hindu","Male","Rural"
3158,101981,6,61,"Hindu","Male","Urban"
3159,16023,0,48,"Hindu","Male","Urban"
3160,2310,6,18,"Hindu","Female","Rural"
3161,11243,12,38,"Hindu","Male","Rural"
3162,18444,0,56,"Hindu","Male","Rural"
3163,116531,15,35,"Hindu","Male","Urban"
3164,5114,0,23,"Hindu","Male","Rural"
3165,63498,0,59,"Hindu","Male","Rural"
3166,33063,12,39,"Hindu","Male","Urban"
3167,3973,7,24,"Hindu","Male","Rural"
3168,11247,9,26,"Hindu","Male","Rural"
3169,410249,13,24,"Hindu","Female","Urban"
3170,10015,9,33,"Hindu","Female","Urban"
3171,17569,3,36,"Christian","Male","Rural"
3172,21667,12,52,"Hindu","Female","Rural"
3173,12155,9,45,"Hindu","Male","Rural"
3174,4799,0,18,"Hindu","Male","Rural"
3175,14162,7,36,"Hindu","Male","Urban"
3176,47975,0,54,"Hindu","Male","Rural"
3177,8547,0,42,"Hindu","Male","Rural"
3178,13129,0,30,"Hindu","Male","Rural"
3179,221284,0,38,"Hindu","Male","Rural"
3180,88356,6,49,"Hindu","Male","Urban"
3181,181313,8,37,"Christian","Male","Urban"
3182,15709,3,36,"Hindu","Female","Rural"
3183,16056,4,23,"Hindu","Male","Rural"
3184,11922,9,27,"Hindu","Male","Urban"
