"id","educ","regprc","ecoprc","hhsize","male","faminc","age","reglbs","ecolbs"
12791,15,0.59,0.79,5,0,45,30,1,0
12794,16,0.59,0.99,2,0,35,66,1.666667,1
12800,12,0.59,0.99,1,0,65,71,2,0
12810,16,0.59,0.79,2,0,65,38,3.333333,0
12813,14,0.89,1.29,3,0,15,37,1.666667,0
12820,17,1.19,1.19,5,0,130,45,1.333333,1.333333
12821,12,0.59,0.99,2,1,35,30,4,0
12828,13,0.89,1.29,6,0,45,37,0,0.5
12834,14,0.59,0.99,2,1,55,41,0.6666667,0
12843,12,0.59,0.99,4,0,35,49,0,0
12854,16,0.59,0.99,2,0,55,42,0,2
12857,16,0.59,0.99,2,0,35,22,0,3
12858,16,0.59,0.79,1,0,25,28,0.6666667,0.6666667
12862,16,0.89,1.29,4,0,65,36,1.666667,1
12865,16,0.89,1.09,2,1,55,28,0,1.333333
12869,18,0.59,0.99,8,0,85,49,3,0
12876,14,1.19,1.59,3,0,35,45,4,0
12882,12,0.59,0.79,3,0,15,29,0,3
12897,13,0.59,0.99,1,0,35,76,1,0
12905,16,0.89,1.09,4,1,130,37,2,1
12908,13,1.19,1.59,4,0,25,45,0,0
12912,14,1.19,1.19,1,0,15,77,0,2
12916,12,0.59,0.79,5,0,65,52,0,2.666667
12919,16,1.19,1.59,1,1,45,50,2,0
12922,10,0.59,0.79,1,0,15,77,4,0
12924,16,1.19,1.39,3,0,130,71,0,1.333333
12931,16,1.19,1.39,3,0,45,46,0,3
12936,14,0.89,1.09,2,0,65,57,0.6666667,1
12942,12,0.89,0.89,2,0,25,76,0,3
12947,18,1.19,1.39,1,0,75,77,10,0
12950,16,1.19,1.59,2,0,85,50,4,0
12951,18,0.89,0.89,4,0,95,38,0,1.666667
12952,12,0.89,1.29,5,0,15,25,0,1
12954,16,0.89,1.09,2,0,15,49,3,0
12970,12,1.19,1.59,4,1,15,34,3,0
12995,13,0.89,1.29,1,1,55,25,1.333333,0
13010,12,0.59,0.99,4,0,35,45,0,4
13012,13,1.19,1.19,5,0,55,40,0,1
13027,13,0.59,0.59,3,0,45,43,0,2
13042,12,0.59,0.99,1,0,35,78,4,4
13045,16,0.59,0.79,2,1,15,72,3,0
13051,16,1.19,1.19,4,0,105,34,0,4
13052,16,0.89,0.89,2,0,105,33,0,2
13075,17,0.59,0.59,2,1,75,64,0,2
13078,17,0.89,1.09,2,0,45,69,2,0
13091,16,0.89,0.89,3,0,95,23,0,5
13104,16,0.59,0.79,4,0,65,40,3.333333,0
13106,13,1.19,1.19,2,0,45,39,0,2
13110,12,0.59,0.59,3,0,45,30,0,2
13119,14,1.19,1.19,2,0,95,51,0,3.333333
13144,18,0.59,0.79,1,1,65,41,1.666667,0
13146,13,1.19,1.19,4,0,75,52,0,3
13152,16,0.59,0.79,1,0,15,73,0,10
13154,12,1.19,1.39,2,1,105,44,0,21
13161,14,0.59,0.99,4,0,25,37,5,0
13173,16,1.19,1.19,3,0,65,21,0,0.6666667
13182,12,1.19,1.59,4,0,25,67,0,0
13194,12,1.19,1.19,4,1,5,37,1,0
13198,12,1.19,1.59,3,0,45,36,3,0
13203,18,0.89,1.29,4,0,55,41,0,2
13206,12,0.89,0.89,3,0,130,33,0,1.666667
13222,12,1.19,1.19,3,0,5,71,0,5
13247,13,1.19,1.59,2,0,65,47,1.333333,0
13265,12,1.19,1.19,4,1,75,40,2,0
13273,16,0.59,0.79,3,0,75,50,0,3
13279,16,0.59,0.99,4,0,35,27,1.333333,0
13281,16,1.19,1.59,1,0,35,42,0.6666667,0.6666667
13286,16,1.19,1.59,5,0,45,42,0,1
13294,11,1.19,1.19,4,0,35,64,3,0
13315,12,1.19,1.39,4,1,15,24,1,0
13316,14,1.19,1.59,1,0,25,79,3,0
13325,13,0.89,1.29,4,0,55,48,1,0
13327,14,1.19,1.39,2,1,85,26,0,2
13335,14,0.59,0.59,2,0,35,66,0,10
13338,16,0.59,0.99,2,0,65,64,2,0
13368,14,0.89,1.29,2,0,35,46,4,0
13369,15,1.19,1.39,2,0,35,59,0,3
13370,12,0.89,1.29,2,0,45,66,0,1
13382,14,0.59,0.99,2,0,25,20,1.333333,0
13401,17,0.89,1.09,5,1,95,36,0,5
13420,15,0.89,0.89,1,0,25,56,0,2.666667
13452,14,0.89,0.89,3,0,25,25,0,2
13455,12,0.59,0.79,4,0,25,20,5,0
13470,12,1.19,1.59,3,0,25,45,2.666667,0
13478,13,1.19,1.59,2,1,45,26,0,1.666667
13490,12,0.59,0.79,2,0,45,54,0,3
13526,12,0.89,1.29,4,0,130,36,0,1
13529,16,0.89,0.89,4,0,85,48,5,5
13532,13,1.19,1.39,2,0,45,23,0,0.6666667
13554,15,0.59,0.99,6,0,65,50,2,2
13558,9,1.19,1.39,6,0,15,34,0,0
13571,16,0.89,1.09,3,0,15,22,0,2
13574,16,0.89,0.89,6,0,75,40,0,2.666667
13589,18,0.59,0.79,3,0,45,37,0,5.333333
13609,13,0.59,0.79,4,0,25,29,8,0
13611,12,0.89,1.09,2,0,35,80,0,2
13619,17,0.59,0.79,7,0,95,40,2,0
13627,12,1.19,1.39,4,0,130,37,5,0
13635,12,1.19,1.39,2,0,5,67,0,2
13640,20,0.89,1.29,4,0,15,34,5,0
13641,12,1.19,1.39,2,0,45,23,0,0
13644,18,0.89,1.29,4,1,85,57,1,0.3333333
13649,12,0.89,1.29,2,1,85,45,0,1
13656,16,0.59,0.79,5,0,35,45,0,5
13679,18,1.19,1.39,3,0,65,53,1.333333,0
13691,11,0.89,1.29,4,1,25,34,1.5,0
13694,12,0.59,0.79,4,1,45,35,0,5
13695,12,0.89,1.29,1,0,25,46,1.333333,1.333333
13728,12,0.89,1.29,4,0,35,76,0,4
13771,16,0.89,1.29,2,0,75,56,4,0
13779,13,0.89,1.29,1,1,5,20,2,0
13790,12,1.19,1.39,2,1,175,32,2,0
13832,13,0.89,1.29,2,1,35,24,0,2.666667
13833,20,0.89,1.09,4,0,15,39,2,2
13838,16,0.89,0.89,2,1,75,25,0.6666667,0
13861,14,0.89,0.89,4,0,45,28,0,2.666667
13864,12,1.19,1.59,5,0,65,31,2,0
13872,14,1.19,1.59,3,1,25,38,0,3
13875,15,1.19,1.59,2,0,15,52,0,0
13879,16,1.19,1.59,3,1,65,46,2,0
13884,16,0.59,0.79,4,0,130,45,10,0
13887,10,1.19,1.59,1,0,5,75,0,0
13892,14,0.59,0.59,5,0,65,37,1.333333,1.333333
13893,16,0.59,0.59,4,0,65,47,0,2
13908,16,0.89,1.09,2,0,75,51,1,0
13916,12,0.59,0.59,1,0,15,45,0,2.666667
13921,18,1.19,1.39,3,1,25,24,2,0
