"id","attendance","sem_gpa","cum_gpa","admission_score","final_score","year1","year2","classes_missed","sex"
584,26,6.25,7.15,82,88,0,0,6,1
585,30,7.075,7,84,90,0,1,2,1
586,32,7.675,6.05,85,91,0,1,0,0
587,30,8.125,9.7,86,97,0,1,2,0
588,26,9.05,8.2,89,100,1,0,6,1
589,30,7.025,4.95,75,93,1,0,2,1
590,32,7.5,7.4,79,91,0,1,0,1
591,29,6.725,7.15,87,90,0,1,3,1
592,28,2.95,5.4,82,94,0,1,4,1
593,31,4.825,5.75,79,86,1,0,1,0
594,15,2.3,3.7,82,84,1,0,17,0
595,30,8.75,7.45,86,92,0,1,2,1
596,25,6.975,8.7,86,91,0,1,7,1
597,15,1.5,4.175,84,87,0,1,17,1
598,28,7,9.775,86,94,1,0,4,0
599,32,7.25,8.125,80,90,0,0,0,1
600,28,6.25,5.625,79,87,0,0,4,1
601,31,6.5,6.65,81,90,0,1,1,1
602,15,6.575,6.2,87,91,0,1,17,1
603,27,5.825,7.675,88,93,0,1,5,0
604,30,9.1,6.25,80,97,0,1,2,1
605,31,6.975,6.675,77,86,1,0,1,1
606,16,3.075,7.375,87,89,0,1,16,1
607,30,6.625,6.425,78,90,0,1,2,0
608,30,5.975,6.25,80,88,1,0,2,1
609,30,6.575,6.35,85,91,1,0,2,1
610,28,7.7,5.425,81,91,1,0,4,1
611,30,4.85,6.65,83,85,1,0,2,0
612,25,6.575,5.5,78,90,0,0,7,1
613,30,7.6,8.4,80,88,0,1,2,1
614,16,4.625,5.6,83,87,0,1,16,0
615,27,7.325,5.075,84,93,0,1,5,0
616,24,7.3,7.75,82,89,0,1,8,0
617,16,5.5,5,82,94,0,1,16,1
618,10,2,4.5,81,82,0,1,22,1
619,28,5.625,6.3,80,89,0,0,4,0
620,30,8.675,7.425,90,100,0,1,2,1
621,11,5.125,5.675,80,87,1,0,21,1
622,27,8.55,7.825,85,89,1,0,5,1
623,27,5.275,5.4,85,96,0,0,5,0
624,20,6.175,5.15,80,92,1,0,12,1
625,18,2.85,5.275,80,83,0,1,14,0
626,10,1.575,5.025,82,89,0,1,22,1
627,27,8.025,8.1,87,87,0,1,5,0
628,31,9.425,8.825,83,93,0,1,1,0
629,32,7.15,6.025,77,94,0,1,0,0
630,30,8.175,6.55,84,93,0,1,2,0
631,31,6.975,7.825,85,96,0,0,1,1
632,32,8.175,7.375,82,95,0,1,0,0
633,28,6.85,7.375,82,91,0,0,4,0
634,29,9.725,9.15,87,93,0,1,3,1
635,17,5.175,5.125,83,89,1,0,15,1
636,26,9.7,7.7,87,100,0,0,6,0
637,18,7.025,5.7,82,89,0,1,14,1
638,28,6.35,5.975,79,87,1,0,4,1
639,32,9.375,6.4,80,94,1,0,0,0
640,31,4.375,5.525,80,88,0,0,1,0
641,18,7,7.15,86,90,0,1,14,1
642,24,8.425,7.375,86,93,0,1,8,1
643,30,8.125,7.5,81,92,1,0,2,0
644,31,9.25,8.525,88,99,0,1,1,0
645,32,7.6,7.5,81,93,0,1,0,1
646,26,4.425,3.45,81,86,1,0,6,0
647,21,4.7,5.675,87,85,1,0,11,0
648,25,5.975,6.05,88,88,1,0,7,0
649,23,7.425,6.55,80,99,0,1,9,0
650,29,6.05,7.525,84,91,0,0,3,1
651,16,1.15,4.875,79,87,0,0,16,1
652,31,7.775,7.075,84,90,0,1,1,0
653,24,7.2,7.625,80,96,0,1,8,1
654,18,5.25,6.275,82,86,0,0,14,0
655,17,3.3,3.7,83,87,0,1,15,1
656,29,4.425,4.85,80,91,0,1,3,0
657,28,6.6,6.15,81,91,0,1,4,1
658,23,8.375,8.75,88,91,0,1,9,1
659,19,3.125,5.45,83,87,0,0,13,0
660,31,7.95,6.2,81,92,0,0,1,1
661,18,7.775,8.325,87,97,0,1,14,0
662,27,7.5,7.075,86,92,0,0,5,0
663,26,6.625,6.625,82,92,0,1,6,0
664,31,5.125,6.25,75,81,0,1,1,0
665,31,9.425,9.45,85,99,0,1,1,0
666,32,8.925,8.85,79,91,0,1,0,1
667,29,7.425,7.675,87,90,0,1,3,0
668,30,8.175,9.3,88,95,0,1,2,1
669,23,6.15,6.2,84,93,0,0,9,0
670,26,6.875,7.75,84,91,0,0,6,0
671,31,8.575,8.75,83,91,0,1,1,0
672,24,6.825,4.9,82,87,0,1,8,0
673,19,2.125,4.6,78,91,0,0,13,1
674,31,6.525,6.825,87,88,0,1,1,0
675,29,8.525,8.7,87,91,0,1,3,0
676,25,2.5,5.775,78,87,0,1,7,0
677,32,6.725,5.95,79,84,0,1,0,1
678,32,9.15,9.025,82,95,0,1,0,1
679,28,7.925,7.55,84,92,0,1,4,0
680,14,4.5,2.975,84,94,1,0,18,1
