ID,Attendance,Semester GPA,Cumulative GPA,APU Admission Test Score,Statistics Final Exam Score,1st Year UG,2nd Year UG,No of Classes Missed,Sex
582,30,2.77,2.78,78,92,0,1,2,0
583,25,2.29,2.36,78,88,0,1,7,1
584,26,2.5,2.86,82,88,0,0,6,1
585,30,2.83,2.8,84,90,0,1,2,1
586,32,3.07,2.42,85,91,0,1,0,0
587,30,3.25,3.88,86,97,0,1,2,0
588,26,3.62,3.28,89,100,1,0,6,1
589,30,2.81,1.98,75,93,1,0,2,1
590,32,3,2.96,79,91,0,1,0,1
591,29,2.69,2.86,87,90,0,1,3,1
592,28,1.18,2.16,82,94,0,1,4,1
593,31,1.93,2.3,79,86,1,0,1,0
594,15,0.92,1.48,82,84,1,0,17,0
595,30,3.5,2.98,86,92,0,1,2,1
596,25,2.79,3.48,86,91,0,1,7,1
597,15,0.6,1.67,84,87,0,1,17,1
598,28,2.8,3.91,86,94,1,0,4,0
599,32,2.9,3.25,80,90,0,0,0,1
600,28,2.5,2.25,79,87,0,0,4,1
601,31,2.6,2.66,81,90,0,1,1,1
602,15,2.63,2.48,87,91,0,1,17,1
603,27,2.33,3.07,88,93,0,1,5,0
604,30,3.64,2.5,80,97,0,1,2,1
605,31,2.79,2.67,77,86,1,0,1,1
606,16,1.23,2.95,87,89,0,1,16,1
607,30,2.65,2.57,78,90,0,1,2,0
608,30,2.39,2.5,80,88,1,0,2,1
609,30,2.63,2.54,85,91,1,0,2,1
610,28,3.08,2.17,81,91,1,0,4,1
611,30,1.94,2.66,83,85,1,0,2,0
612,25,2.63,2.2,78,90,0,0,7,1
613,30,3.04,3.36,80,88,0,1,2,1
614,16,1.85,2.24,83,87,0,1,16,0
615,27,2.93,2.03,84,93,0,1,5,0
616,24,2.92,3.1,82,89,0,1,8,0
617,16,2.2,2,82,94,0,1,16,1
618,10,0.8,1.8,81,82,0,1,22,1
619,28,2.25,2.52,80,89,0,0,4,0
620,30,3.47,2.97,90,100,0,1,2,1
621,11,2.05,2.27,80,87,1,0,21,1
622,27,3.42,3.13,85,89,1,0,5,1
623,27,2.11,2.16,85,96,0,0,5,0
624,20,2.47,2.06,80,92,1,0,12,1
625,18,1.14,2.11,80,83,0,1,14,0
626,10,0.63,2.01,82,89,0,1,22,1
627,27,3.21,3.24,87,87,0,1,5,0
628,31,3.77,3.53,83,93,0,1,1,0
629,32,2.86,2.41,77,94,0,1,0,0
630,30,3.27,2.62,84,93,0,1,2,0
631,31,2.79,3.13,85,96,0,0,1,1
632,32,3.27,2.95,82,95,0,1,0,0
633,28,2.74,2.95,82,91,0,0,4,0
634,29,3.89,3.66,87,93,0,1,3,1
635,17,2.07,2.05,83,89,1,0,15,1
636,26,3.88,3.08,87,100,0,0,6,0
637,18,2.81,2.28,82,89,0,1,14,1
638,28,2.54,2.39,79,87,1,0,4,1
639,32,3.75,2.56,80,94,1,0,0,0
640,31,1.75,2.21,80,88,0,0,1,0
641,18,2.8,2.86,86,90,0,1,14,1
642,24,3.37,2.95,86,93,0,1,8,1
643,30,3.25,3,81,92,1,0,2,0
644,31,3.7,3.41,88,99,0,1,1,0
645,32,3.04,3,81,93,0,1,0,1
646,26,1.77,1.38,81,86,1,0,6,0
647,21,1.88,2.27,87,85,1,0,11,0
648,25,2.39,2.42,88,88,1,0,7,0
649,23,2.97,2.62,80,99,0,1,9,0
650,29,2.42,3.01,84,91,0,0,3,1
651,16,0.46,1.95,79,87,0,0,16,1
652,31,3.11,2.83,84,90,0,1,1,0
653,24,2.88,3.05,80,96,0,1,8,1
654,18,2.1,2.51,82,86,0,0,14,0
655,17,1.32,1.48,83,87,0,1,15,1
656,29,1.77,1.94,80,91,0,1,3,0
657,28,2.64,2.46,81,91,0,1,4,1
658,23,3.35,3.5,88,91,0,1,9,1
659,19,1.25,2.18,83,87,0,0,13,0
660,31,3.18,2.48,81,92,0,0,1,1
661,18,3.11,3.33,87,97,0,1,14,0
662,27,3,2.83,86,92,0,0,5,0
663,26,2.65,2.65,82,92,0,1,6,0
664,31,2.05,2.5,75,81,0,1,1,0
665,31,3.77,3.78,85,99,0,1,1,0
666,32,3.57,3.54,79,91,0,1,0,1
667,29,2.97,3.07,87,90,0,1,3,0
668,30,3.27,3.72,88,95,0,1,2,1
669,23,2.46,2.48,84,93,0,0,9,0
670,26,2.75,3.1,84,91,0,0,6,0
671,31,3.43,3.5,83,91,0,1,1,0
672,24,2.73,1.96,82,87,0,1,8,0
673,19,0.85,1.84,78,91,0,0,13,1
674,31,2.61,2.73,87,88,0,1,1,0
675,29,3.41,3.48,87,91,0,1,3,0
676,25,1,2.31,78,87,0,1,7,0
677,32,2.69,2.38,79,84,0,1,0,1
678,32,3.66,3.61,82,95,0,1,0,1
679,28,3.17,3.02,84,92,0,1,4,0
680,14,1.8,1.19,84,94,1,0,18,1
