obs,gender,city,relationship,lwage,exper
925,female,big,married,1.214913,9
926,female,big,single,0.6830968,19
927,female,big,married,0.6523252,26
928,female,big,married,1.214913,11
929,male,small,married,1.321756,36
930,female,big,married,1.321756,6
931,male,small,married,1.885553,33
932,male,big,married,1.321756,35
933,male,small,married,2.074429,42
934,male,small,married,1.321756,28
935,male,small,married,1.888584,11
936,male,big,married,2.157559,42
937,male,big,married,1.61343,33
938,male,big,single,2.445819,42
939,male,small,married,1.774952,25
940,male,big,married,1.321756,6
941,male,big,married,2.163323,41
942,male,small,married,3.069912,34
943,female,big,married,1.18479,27
944,female,big,single,1.193922,17
945,male,small,married,1.702928,44
946,female,big,single,0.8754688,42
947,male,big,single,1.408545,1
948,male,big,married,0.6830968,35
949,male,big,married,1.975469,42
950,male,small,married,2.140066,4
951,female,big,married,0.6830968,1
952,male,big,married,1.971299,18
953,male,big,married,1.570697,6
954,male,big,married,1.656321,15
955,male,big,married,2.211566,24
956,female,small,married,1.321756,25
957,male,big,single,2.039921,40
958,male,big,married,2.151762,31
959,male,big,married,1.665818,20
960,male,small,single,0.8754688,0
961,male,big,married,1.166271,5
962,female,big,married,1.89762,15
963,male,small,married,1.348073,5
964,male,small,married,2.138889,36
965,male,small,married,1.975469,18
966,male,small,married,1.202972,22
967,female,big,single,1.451614,2
968,male,small,single,1.05779,4
969,male,big,married,1.408545,10
970,female,big,married,1.011601,36
971,female,big,single,1.415853,9
972,male,small,married,2.263844,15
973,male,small,married,1.710188,5
974,female,big,married,1.388791,5
975,male,big,married,1.226712,4
976,male,big,married,1.934416,3
977,female,big,married,1.321756,12
978,male,small,single,2.074429,5
979,female,big,married,1.321756,6
980,female,big,single,1.453953,7
981,male,big,married,0.8372475,35
982,female,small,married,1.335001,15
983,male,big,single,1.408545,5
984,female,big,married,1.348073,12
985,female,big,married,1.321756,23
986,male,big,single,1.098612,10
987,male,big,single,1.376244,1
988,male,big,married,2.145931,20
989,male,small,married,1.321756,14
990,male,big,married,1.791759,1
991,male,small,married,1.570697,6
992,male,big,married,0.9162908,26
993,female,small,single,1.463255,18
994,male,small,single,0.2390169,4
995,female,small,married,1.752672,13
996,male,small,married,1.435084,33
997,male,small,married,2.620311,28
998,male,big,married,0.9400072,4
999,male,big,married,1.635106,42
1000,male,big,married,1.975469,39
1001,male,small,married,1.444563,7
1002,male,small,married,1.410987,38
1003,male,big,married,2.140066,19
1004,male,big,married,1.781709,29
1005,male,big,married,2.355178,35
1006,male,small,married,1.252763,18
1007,male,small,married,1.783391,8
1008,male,small,married,2.184927,20
1009,male,big,married,1.745715,34
1010,male,big,married,0.0487901,29
1011,male,small,married,1.348073,8
1012,male,small,single,1.05779,4
1013,male,big,married,2.132982,15
1014,male,big,single,1.283708,6
1015,male,big,single,1.752672,20
1016,male,big,married,1.202972,35
1017,male,big,married,2.074429,44
1018,male,big,married,1.501853,17
1019,male,small,single,0.8671005,3
1020,male,small,married,1.625311,40
1021,male,big,married,1.669592,18
1022,male,small,single,1.669592,23
1023,male,big,married,1.877937,10
1024,male,small,single,2.005526,18
1025,male,big,married,1.665818,42
1026,male,small,married,2.406044,38
1027,male,big,single,1.202972,5
1028,male,big,married,1.18479,25
1029,male,big,married,1.348073,26
1030,male,small,married,2.084429,11
1031,male,big,married,1.530395,16
1032,male,big,married,2.074429,40
1033,male,big,married,1.578979,7
1034,male,small,single,1.941615,17
1035,male,big,married,1.570697,44
1036,male,small,married,1.105257,6
1037,male,small,married,1.381282,8
1038,male,small,single,1.715598,31
1039,male,small,married,1.99061,26
1040,male,small,married,2.039921,20
1041,male,small,married,1.838961,22
1042,male,small,married,2.263844,11
1043,male,small,married,2.032088,8
1044,male,big,married,1.456287,40
1045,male,big,married,3.244153,13
1046,male,big,single,1.444563,3
1047,male,small,married,1.353254,10
1048,male,small,married,1.745715,18
1049,female,big,married,1.252763,5
1050,male,big,married,1.619388,16
1051,male,small,married,2.074429,10
1052,male,small,married,2.074429,10
1053,male,big,single,1.226712,3
1054,male,big,single,1.745715,40
1055,male,big,married,2.184927,35
1056,male,big,married,1.570697,28
1057,male,big,married,1.570697,16
1058,male,small,single,1.321756,19
1059,male,big,married,2.596001,11
1060,male,big,married,1.627278,10
1061,male,small,single,1.05779,4
1062,male,small,single,1.166271,2
1063,male,big,single,1.515127,5
1064,male,big,single,1.752672,31
1065,male,big,married,2.180418,28
1066,male,big,married,1.483875,9
1067,male,small,married,1.451614,12
1068,male,small,married,2.314514,17
1069,male,small,married,1.665818,37
1070,male,big,married,1.745715,35
1071,male,small,married,2.032088,35
1072,male,small,married,2.039921,10
1073,male,big,married,1.805005,42
1074,male,small,single,2.013569,27
1075,male,big,married,1.851599,5
1076,female,small,single,1.857859,5
1077,male,big,single,0.6830968,3
1078,male,small,single,1.348073,37
1079,male,small,single,1.953028,14
1080,male,big,married,1.635106,21
1081,male,small,married,1.848455,7
1082,male,big,married,1.900614,27
1083,male,small,single,1.530395,1
1084,male,small,married,1.61343,31
1085,male,small,married,1.442202,42
1086,male,big,married,1.465567,45
1087,male,small,married,1.877937,34
1088,male,small,single,1.964311,9
1089,male,small,married,1.348073,3
1090,female,big,married,0.7747272,2
1091,male,big,married,1.665818,36
1092,female,small,married,1.870263,27
1093,male,big,married,2.321407,39
1094,male,big,married,1.756132,9
1095,male,big,single,1.34025,47
1096,male,big,married,2.528924,13
1097,male,big,married,2.039921,28
1098,male,big,married,2.145931,26
1099,male,big,married,1.778336,34
1100,male,big,married,2.620311,28
1101,female,big,married,0.751416,17
1102,male,big,married,2.781301,10
1103,male,big,married,0.2776318,21
1104,male,big,married,0.5822156,15
1105,male,big,married,0.8415672,15
1106,male,big,married,1.308333,11
1107,male,big,married,1.909543,37
1108,male,big,married,2.132982,43
1109,male,big,married,3.267285,37
1110,male,big,married,2.183802,24
1111,male,big,married,0.9162908,17
1112,male,big,married,1.985131,16
1113,male,big,married,2.059239,36
1114,male,big,married,3.267285,37
1115,male,big,married,1.8453,38
1116,male,big,married,1.425515,9
1117,male,big,married,1.166271,36
1118,female,small,single,0.7030975,41
1119,male,big,married,2.222459,10
1120,male,big,married,0.9858168,33
1121,female,big,married,2.157559,5
1122,female,big,single,0.7323679,1
1123,female,small,married,1.832582,47
1124,male,big,married,0.6523252,8
1125,male,big,married,1.12493,6
1126,female,big,married,0.7466879,12
1127,female,big,single,1.241269,26
1128,male,small,married,1.570697,14
1129,female,small,single,1.214913,13
1130,male,big,married,1.752672,39
1131,male,small,married,1.205971,10
1132,male,small,married,1.98238,27
1133,male,big,married,1.316408,5
1134,female,small,single,0.7929925,6
1135,male,big,married,1.071584,32
1136,male,small,married,1.261298,1
1137,female,small,married,0.5877866,8
1138,female,small,married,0.9555114,15
1139,male,small,single,0.1570037,1
1140,female,big,single,0.6312718,25
1141,female,big,married,1.05779,15
1142,female,small,married,0.6523252,7
1143,female,big,single,0.6312718,1
1144,female,big,married,1.214913,12
1145,female,small,single,0.5988365,3
1146,male,small,married,0.3784365,2
1147,female,small,married,0.8153648,3
1148,female,small,single,0.7275486,2
1149,male,small,married,1.264127,16
1150,female,big,single,0.2311117,32
1151,female,big,married,0.8153648,20
1152,female,big,married,1.373716,17
1153,female,big,single,0.9745597,15
1154,female,big,married,1.321756,19
1155,male,small,single,0.8153648,37
1156,female,small,single,0.7839016,29
1157,female,big,single,0.7839016,5
1158,female,small,single,1.166271,7
1159,female,big,single,0.9042181,23
1160,female,small,single,1.098612,5
1161,male,small,single,1.321756,29
1162,female,small,single,0.6931472,13
1163,female,small,married,0.8153648,10
1164,female,big,married,1.05779,12
1165,female,small,married,1.545433,7
1166,female,big,married,1.373716,9
1167,male,big,married,1.877937,4
1168,female,small,single,1.272566,26
1169,male,small,married,1.669592,15
1170,female,big,married,0.9669839,19
1171,male,big,married,1.465567,22
1172,female,big,single,0.8109302,12
1173,female,small,married,1.011601,11
1174,female,small,married,1.190888,6
1175,male,big,married,1.752672,13
1176,female,small,single,1.556037,8
1177,female,small,single,1.415853,7
1178,female,big,single,1.061257,12
1179,male,big,married,1.940179,11
1180,male,small,married,1.857859,41
1181,female,big,married,1.453953,7
1182,female,small,married,0.2468601,9
1183,female,big,single,0.9400072,40
1184,female,big,married,1.530395,7
1185,female,small,married,0.6830968,9
1186,female,big,single,0.6523252,13
1187,female,big,married,0.5877866,33
1188,female,small,single,0.6830968,17
1189,female,big,single,0.6931472,3
1190,female,big,single,0.7466879,8
1191,female,big,married,0.7466879,3
1192,male,small,single,1.018847,9
1193,female,big,single,1.241269,30
1194,female,big,single,1.791759,5
1195,male,small,married,1.570697,13
1196,female,big,married,0.8458682,5
1197,female,big,single,1.272566,9
1198,female,small,single,0.6830968,8
1199,female,big,married,1.635106,20
1200,female,small,single,1.497388,3
1201,female,small,single,0.7275486,5
1202,female,small,married,1.941615,20
1203,female,small,single,0.6830968,2
1204,female,small,single,1.530395,7
1205,male,big,single,1.166271,5
1206,female,big,single,0.5877866,46
1207,female,small,married,1.530395,10
1208,male,big,married,1.809927,27
1209,male,big,married,1.745715,39
1210,male,big,married,1.272566,13
1211,male,small,married,0.4574249,27
1212,male,big,married,1.437463,7
1213,female,small,single,0.5596158,18
1214,female,big,married,0.7654679,6
1215,female,small,married,0.0198026,11
1216,female,big,married,0.8754688,10
1217,female,small,single,1.040277,28
1218,female,big,married,1.190888,2
1219,female,small,single,0.6830968,45
1220,male,big,single,3.142427,9
1221,female,big,married,1.702928,13
1222,male,big,single,1.098612,40
1223,female,big,single,1.190888,10
1224,female,big,single,1.05779,15
1225,female,big,married,0.9669839,12
1226,female,big,single,1.7613,20
1227,female,small,married,0.0861777,8
1228,female,small,married,0.2468601,13
1229,female,big,single,1.832582,3
1230,male,big,married,1.05779,7
1231,male,big,married,2.039921,18
1232,male,small,married,1.965713,13
1233,male,small,married,1.93586,36
1234,male,small,single,0.4446858,4
1235,female,small,single,0.6830968,8
1236,male,small,single,2.169054,24
1237,male,big,married,1.570697,31
1238,male,big,married,1.549688,16
1239,male,big,married,1.583094,10
1240,male,big,married,1.530395,10
1241,male,small,single,0.8754688,12
1242,male,big,married,1.675226,20
1243,male,big,married,1.437463,13
1244,male,big,married,1.551809,9
1245,male,big,married,2.551006,15
1246,male,small,married,1.906575,34
1247,male,small,married,1.684545,8
1248,male,small,single,1.669592,3
1249,male,small,single,2.358965,19
1250,male,big,married,2.157559,10
1251,male,big,married,1.427916,13
1252,male,small,single,1.918392,7
1253,male,big,married,2.263844,21
1254,female,big,single,0.1988509,10
1255,female,big,married,0.5822156,20
1256,female,big,single,0.4762342,25
1257,female,small,married,0.5187938,4
1258,female,small,single,1.190888,35
1259,female,big,married,0.8372475,15
1260,female,small,single,0.6523252,24
